Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	InSPI2_R1	InSPI2_R2	LSP_R1	LSP_R2
sense	NC_016810.1	RefSeq	gene	5114	5887	.	-	.	ID=gene-SL1344_RS00025;Name=yaaA;gbkey=Gene;gene=yaaA;gene_biotype=protein_coding;locus_tag=SL1344_RS00025;old_locus_tag=SL1344_0005	3.550323390010781	3.7116135480801073	0.0	0.6664268116600285
sense	NC_016810.1	Protein Homology	CDS	5114	5887	.	-	0	ID=cds-WP_000906175.1;Parent=gene-SL1344_RS00025;Dbxref=GenBank:WP_000906175.1;Name=WP_000906175.1;gbkey=CDS;gene=yaaA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459010.1;locus_tag=SL1344_RS00025;product=peroxide stress protein YaaA;protein_id=WP_000906175.1;transl_table=11	3.550323390010781	3.7116135480801073	0.0	0.6664268116600285
sense	NC_016810.1	RefSeq	gene	5966	7396	.	-	.	ID=gene-SL1344_RS00030;Name=SL1344_RS00030;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00030;old_locus_tag=SL1344_0006	0.5760902104545795	1.20452364201845	0.12206481263980296	1.8022863459988192
sense	NC_016810.1	Protein Homology	CDS	5966	7396	.	-	0	ID=cds-WP_001113820.1;Parent=gene-SL1344_RS00030;Dbxref=GenBank:WP_001113820.1;Name=WP_001113820.1;Ontology_term=GO:0006814,GO:0006865,GO:0005283,GO:0015293,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=amino acid:sodium symporter activity|0005283||IEA,symporter activity|0015293||IEA;go_process=sodium ion transport|0006814||IEA,amino acid transport|0006865||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459011.1;locus_tag=SL1344_RS00030;product=alanine/glycine:cation symporter family protein;protein_id=WP_001113820.1;transl_table=11	0.5760902104545795	1.20452364201845	0.12206481263980296	1.8022863459988192
sense	NC_016810.1	RefSeq	gene	7665	8618	.	+	.	ID=gene-SL1344_RS00035;Name=tal;gbkey=Gene;gene=tal;gene_biotype=protein_coding;locus_tag=SL1344_RS00035;old_locus_tag=SL1344_0007	10.369623788182427	4.61734062773739	3.173685128634876	0.7209145383995276
sense	NC_016810.1	Protein Homology	CDS	7665	8618	.	+	0	ID=cds-WP_000130175.1;Parent=gene-SL1344_RS00035;Dbxref=GenBank:WP_000130175.1;Name=WP_000130175.1;Ontology_term=GO:0006098,GO:0004801,GO:0005737;gbkey=CDS;gene=tal;go_component=cytoplasm|0005737||IEA;go_function=transaldolase activity|0004801||IEA;go_process=pentose-phosphate shunt|0006098||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459012.1;locus_tag=SL1344_RS00035;product=transaldolase;protein_id=WP_000130175.1;transl_table=11	10.369623788182427	4.61734062773739	3.173685128634876	0.7209145383995276
sense	NC_016810.1	RefSeq	gene	8729	9319	.	+	.	ID=gene-SL1344_RS00040;Name=mog;gbkey=Gene;gene=mog;gene_biotype=protein_coding;locus_tag=SL1344_RS00040;old_locus_tag=SL1344_0008	0.464966210468417	0.648119320070841	1.1822317894250964	1.1637097624926385
sense	NC_016810.1	Protein Homology	CDS	8729	9319	.	+	0	ID=cds-WP_000380372.1;Parent=gene-SL1344_RS00040;Dbxref=GenBank:WP_000380372.1;Name=WP_000380372.1;Ontology_term=GO:0006777;gbkey=CDS;gene=mog;go_process=Mo-molybdopterin cofactor biosynthetic process|0006777||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459013.1;locus_tag=SL1344_RS00040;product=molybdopterin adenylyltransferase;protein_id=WP_000380372.1;transl_table=11	0.464966210468417	0.648119320070841	1.1822317894250964	1.1637097624926385
sense	NC_016810.1	RefSeq	gene	9376	9942	.	-	.	ID=gene-SL1344_RS00045;Name=satP;gbkey=Gene;gene=satP;gene_biotype=protein_coding;locus_tag=SL1344_RS00045;old_locus_tag=SL1344_0009	0.2423236599531168	0.0	0.30806833666235983	0.0
sense	NC_016810.1	Protein Homology	CDS	9376	9942	.	-	0	ID=cds-WP_000528527.1;Parent=gene-SL1344_RS00045;Dbxref=GenBank:WP_000528527.1;Name=WP_000528527.1;Ontology_term=GO:0016020;gbkey=CDS;gene=satP;go_component=membrane|0016020||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459014.1;locus_tag=SL1344_RS00045;product=acetate uptake transporter;protein_id=WP_000528527.1;transl_table=11	0.2423236599531168	0.0	0.30806833666235983	0.0
sense	NC_016810.1	RefSeq	gene	10092	10805	.	-	.	ID=gene-SL1344_RS00050;Name=msyB;gbkey=Gene;gene=msyB;gene_biotype=protein_coding;locus_tag=SL1344_RS00050;old_locus_tag=SL1344_0010	0.0	0.0	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	10092	10805	.	-	0	ID=cds-WP_001103477.1;Parent=gene-SL1344_RS00050;Dbxref=GenBank:WP_001103477.1;Name=WP_001103477.1;gbkey=CDS;gene=msyB;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459015.1;locus_tag=SL1344_RS00050;product=acidic protein MsyB;protein_id=WP_001103477.1;transl_table=11	0.0	0.0	0.0	0.0
sense	NC_016810.1	RefSeq	gene	10841	11245	.	-	.	ID=gene-SL1344_RS00055;Name=SL1344_RS00055;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00055;old_locus_tag=SL1344_0011	0.678506247868727	0.7093305891886428	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	10841	11245	.	-	0	ID=cds-WP_001258094.1;Parent=gene-SL1344_RS00055;Dbxref=GenBank:WP_001258094.1;Name=WP_001258094.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459016.1;locus_tag=SL1344_RS00055;product=DUF2541 family protein;protein_id=WP_001258094.1;transl_table=11	0.678506247868727	0.7093305891886428	0.0	0.0
sense	NC_016810.1	RefSeq	gene	11593	13509	.	+	.	ID=gene-SL1344_RS00060;Name=dnaK;gbkey=Gene;gene=dnaK;gene_biotype=protein_coding;locus_tag=SL1344_RS00060;old_locus_tag=SL1344_0012	15.146935251717297	9.191325944416205	0.9111880380154304	0.1793824907754693
sense	NC_016810.1	Protein Homology	CDS	11593	13509	.	+	0	ID=cds-WP_000516125.1;Parent=gene-SL1344_RS00060;Dbxref=GenBank:WP_000516125.1;Name=WP_000516125.1;Ontology_term=GO:0006457,GO:0005524,GO:0016887;gbkey=CDS;gene=dnaK;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA;go_process=protein folding|0006457||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_001737966.1;locus_tag=SL1344_RS00060;product=molecular chaperone DnaK;protein_id=WP_000516125.1;transl_table=11	15.146935251717297	9.191325944416205	0.9111880380154304	0.1793824907754693
sense	NC_016810.1	RefSeq	gene	13595	14734	.	+	.	ID=gene-SL1344_RS00065;Name=dnaJ;gbkey=Gene;gene=dnaJ;gene_biotype=protein_coding;locus_tag=SL1344_RS00065;old_locus_tag=SL1344_0013	5.222712565831647	3.863985051632868	0.510744873940228	0.3016458200145392
sense	NC_016810.1	Protein Homology	CDS	13595	14734	.	+	0	ID=cds-WP_001119009.1;Parent=gene-SL1344_RS00065;Dbxref=GenBank:WP_001119009.1;Name=WP_001119009.1;Ontology_term=GO:0006457,GO:0009408,GO:0005515,GO:0005524;gbkey=CDS;gene=dnaJ;go_function=protein binding|0005515||IEA,ATP binding|0005524||IEA;go_process=protein folding|0006457||IEA,response to heat|0009408||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459018.1;locus_tag=SL1344_RS00065;product=molecular chaperone DnaJ;protein_id=WP_001119009.1;transl_table=11	5.222712565831647	3.863985051632868	0.510744873940228	0.3016458200145392
sense	NC_016810.1	RefSeq	gene	15014	15961	.	+	.	ID=gene-SL1344_RS00070;Name=SL1344_RS00070;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00070;old_locus_tag=SL1344_0014	0.4831136258558974	0.6060736046864986	0.2456747494902363	0.0
sense	NC_016810.1	Protein Homology	CDS	15014	15961	.	+	0	ID=cds-WP_000534902.1;Parent=gene-SL1344_RS00070;Dbxref=GenBank:WP_000534902.1;Name=WP_000534902.1;Ontology_term=GO:0001216,GO:0003677,GO:0003700;gbkey=CDS;go_function=DNA-binding transcription activator activity|0001216||IEA,DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459019.1;locus_tag=SL1344_RS00070;product=LysR family transcriptional regulator;protein_id=WP_000534902.1;transl_table=11	0.4831136258558974	0.6060736046864986	0.2456747494902363	0.0
sense	NC_016810.1	RefSeq	gene	16088	16432	.	+	.	ID=gene-SL1344_RS00075;Name=SL1344_RS00075;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00075;old_locus_tag=SL1344_0015	0.0	0.5551282871911117	0.6750714855557798	0.0
sense	NC_016810.1	Protein Homology	CDS	16088	16432	.	+	0	ID=cds-WP_000026889.1;Parent=gene-SL1344_RS00075;Dbxref=GenBank:WP_000026889.1;Name=WP_000026889.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459020.1;locus_tag=SL1344_RS00075;product=phage holin family protein;protein_id=WP_000026889.1;transl_table=11	0.0	0.5551282871911117	0.6750714855557798	0.0
sense	NC_016810.1	RefSeq	gene	16493	17026	.	-	.	ID=gene-SL1344_RS00080;Name=SL1344_RS00080;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00080;old_locus_tag=SL1344_0016	0.5145974351813379	0.0	0.6542125351593934	0.0
sense	NC_016810.1	Protein Homology	CDS	16493	17026	.	-	0	ID=cds-WP_001068132.1;Parent=gene-SL1344_RS00080;Dbxref=GenBank:WP_001068132.1;Name=WP_001068132.1;Ontology_term=GO:0004553;gbkey=CDS;go_function=hydrolase activity%2C hydrolyzing O-glycosyl compounds|0004553||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459021.1;locus_tag=SL1344_RS00080;product=glycoside hydrolase family 108 protein;protein_id=WP_001068132.1;transl_table=11	0.5145974351813379	0.0	0.6542125351593934	0.0
sense	NC_016810.1	RefSeq	gene	17043	17486	.	-	.	ID=gene-SL1344_RS00085;Name=SL1344_RS00085;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00085;old_locus_tag=SL1344_0017	0.0	0.0	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	17043	17486	.	-	0	ID=cds-WP_000860682.1;Parent=gene-SL1344_RS00085;Dbxref=GenBank:WP_000860682.1;Name=WP_000860682.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459022.1;locus_tag=SL1344_RS00085;product=winged helix-turn-helix domain-containing protein;protein_id=WP_000860682.1;transl_table=11	0.0	0.0	0.0	0.0
sense	NC_016810.1	RefSeq	gene	17867	19966	.	+	.	ID=gene-SL1344_RS00090;Name=SL1344_RS00090;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00090;old_locus_tag=SL1344_0018	0.13085477637468307	0.09119964718139692	1.6081167173775182	0.49125176402367815
sense	NC_016810.1	Protein Homology	CDS	17867	19966	.	+	0	ID=cds-WP_000235798.1;Parent=gene-SL1344_RS00090;Dbxref=GenBank:WP_000235798.1;Name=WP_000235798.1;Ontology_term=GO:0005975;gbkey=CDS;go_process=carbohydrate metabolic process|0005975||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459023.1;locus_tag=SL1344_RS00090;product=glycosyl hydrolase family 18 protein;protein_id=WP_000235798.1;transl_table=11	0.13085477637468307	0.09119964718139692	1.6081167173775182	0.49125176402367815
sense	NC_016810.1	RefSeq	gene	20058	23054	.	+	.	ID=gene-SL1344_RS00095;Name=SL1344_RS00095;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00095;old_locus_tag=SL1344_0019	0.0	0.0	0.07771093177068536	0.0
sense	NC_016810.1	Protein Homology	CDS	20058	23054	.	+	0	ID=cds-WP_000155792.1;Parent=gene-SL1344_RS00095;Dbxref=GenBank:WP_000155792.1;Name=WP_000155792.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459024.1;locus_tag=SL1344_RS00095;product=chitinase;protein_id=WP_000155792.1;transl_table=11	0.0	0.0	0.07771093177068536	0.0
sense	NC_016810.1	RefSeq	gene	23335	24039	.	+	.	ID=gene-SL1344_RS00100;Name=SL1344_RS00100;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00100;old_locus_tag=SL1344_0020	0.2598534566305763	0.2716585235190547	0.33035413122942414	0.4877677089596804
sense	NC_016810.1	Protein Homology	CDS	23335	24039	.	+	0	ID=cds-WP_000738617.1;Parent=gene-SL1344_RS00100;Dbxref=GenBank:WP_000738617.1;Name=WP_000738617.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459025.1;locus_tag=SL1344_RS00100;product=winged helix-turn-helix transcriptional regulator;protein_id=WP_000738617.1;transl_table=11	0.2598534566305763	0.2716585235190547	0.33035413122942414	0.4877677089596804
sense	NC_016810.1	RefSeq	gene	24469	25011	.	+	.	ID=gene-SL1344_RS00105;Name=SL1344_RS00105;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00105;old_locus_tag=SL1344_0021	0.16868939864139623	0.0	0.21445641115722286	0.633289566881353
sense	NC_016810.1	Protein Homology	CDS	24469	25011	.	+	0	ID=cds-WP_000743357.1;Parent=gene-SL1344_RS00105;Dbxref=GenBank:WP_000743357.1;Name=WP_000743357.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459026.1;locus_tag=SL1344_RS00105;product=fimbrial protein BcfA;protein_id=WP_000743357.1;transl_table=11	0.16868939864139623	0.0	0.21445641115722286	0.633289566881353
sense	NC_016810.1	RefSeq	gene	25112	25798	.	+	.	ID=gene-SL1344_RS00110;Name=bcfB;gbkey=Gene;gene=bcfB;gene_biotype=protein_coding;locus_tag=SL1344_RS00110;old_locus_tag=SL1344_0022	0.0	0.0	0.33900969798652697	0.0
sense	NC_016810.1	Protein Homology	CDS	25112	25798	.	+	0	ID=cds-WP_000742554.1;Parent=gene-SL1344_RS00110;Dbxref=GenBank:WP_000742554.1;Name=WP_000742554.1;gbkey=CDS;gene=bcfB;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459027.1;locus_tag=SL1344_RS00110;product=fimbrial biogenesis chaperone BcfB;protein_id=WP_000742554.1;transl_table=11	0.0	0.0	0.33900969798652697	0.0
sense	NC_016810.1	RefSeq	gene	25803	28424	.	+	.	ID=gene-SL1344_RS00115;Name=bcfC;gbkey=Gene;gene=bcfC;gene_biotype=protein_coding;locus_tag=SL1344_RS00115;old_locus_tag=SL1344_0023	0.06986906442584145	0.0	0.04441259773393288	0.0
sense	NC_016810.1	Protein Homology	CDS	25803	28424	.	+	0	ID=cds-WP_001245854.1;Parent=gene-SL1344_RS00115;Dbxref=GenBank:WP_001245854.1;Name=WP_001245854.1;gbkey=CDS;gene=bcfC;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459028.1;locus_tag=SL1344_RS00115;product=fimbrial usher BcfC;protein_id=WP_001245854.1;transl_table=11	0.06986906442584145	0.0	0.04441259773393288	0.0
sense	NC_016810.1	RefSeq	gene	28425	29432	.	+	.	ID=gene-SL1344_RS00120;Name=SL1344_RS00120;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00120;old_locus_tag=SL1344_0024	0.18174274496483758	0.0	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	28425	29432	.	+	0	ID=cds-WP_000701247.1;Parent=gene-SL1344_RS00120;Dbxref=GenBank:WP_000701247.1;Name=WP_000701247.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459029.1;locus_tag=SL1344_RS00120;product=fimbrial protein BcfD;protein_id=WP_000701247.1;transl_table=11	0.18174274496483758	0.0	0.0	0.0
sense	NC_016810.1	RefSeq	gene	29433	29978	.	+	.	ID=gene-SL1344_RS00125;Name=SL1344_RS00125;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00125;old_locus_tag=SL1344_0025	0.0	0.0	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	29433	29978	.	+	0	ID=cds-WP_001082039.1;Parent=gene-SL1344_RS00125;Dbxref=GenBank:WP_001082039.1;Name=WP_001082039.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459030.1;locus_tag=SL1344_RS00125;product=fimbrial protein BcfE;protein_id=WP_001082039.1;transl_table=11	0.0	0.0	0.0	0.0
sense	NC_016810.1	RefSeq	gene	29994	30512	.	+	.	ID=gene-SL1344_RS00130;Name=SL1344_RS00130;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00130;old_locus_tag=SL1344_0026	0.17649006447452437	0.0	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	29994	30512	.	+	0	ID=cds-WP_001243232.1;Parent=gene-SL1344_RS00130;Dbxref=GenBank:WP_001243232.1;Name=WP_001243232.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459031.1;locus_tag=SL1344_RS00130;product=fimbrial protein BcfF;protein_id=WP_001243232.1;transl_table=11	0.17649006447452437	0.0	0.0	0.0
sense	NC_016810.1	RefSeq	gene	30478	31209	.	+	.	ID=gene-SL1344_RS00135;Name=bcfG;gbkey=Gene;gene=bcfG;gene_biotype=protein_coding;locus_tag=SL1344_RS00135;old_locus_tag=SL1344_0027	0.12513434899218326	0.0	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	30478	31209	.	+	0	ID=cds-WP_001135039.1;Parent=gene-SL1344_RS00135;Dbxref=GenBank:WP_001135039.1;Name=WP_001135039.1;gbkey=CDS;gene=bcfG;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459032.1;locus_tag=SL1344_RS00135;product=fimbrial chaperone BcfG;protein_id=WP_001135039.1;transl_table=11	0.12513434899218326	0.0	0.0	0.0
sense	NC_016810.1	RefSeq	gene	31274	32119	.	+	.	ID=gene-SL1344_RS00140;Name=SL1344_RS00140;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00140;old_locus_tag=SL1344_0028	0.2165445471921469	0.0	0.13764755467892673	0.0
sense	NC_016810.1	Protein Homology	CDS	31274	32119	.	+	0	ID=cds-WP_000291392.1;Parent=gene-SL1344_RS00140;Dbxref=GenBank:WP_000291392.1;Name=WP_000291392.1;Ontology_term=GO:0015036;gbkey=CDS;go_function=disulfide oxidoreductase activity|0015036||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459033.1;locus_tag=SL1344_RS00140;product=DsbA family protein;protein_id=WP_000291392.1;transl_table=11	0.2165445471921469	0.0	0.13764755467892673	0.0
sense	NC_016810.1	RefSeq	gene	32158	32445	.	+	.	ID=gene-SL1344_RS00145;Name=SL1344_RS00145;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00145;old_locus_tag=SL1344_0029	0.0	0.0	2.021698459346736	0.0
sense	NC_016810.1	Protein Homology	CDS	32158	32445	.	+	0	ID=cds-WP_000839833.1;Parent=gene-SL1344_RS00145;Dbxref=GenBank:WP_000839833.1;Name=WP_000839833.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_000839835.1;locus_tag=SL1344_RS00145;product=hypothetical protein;protein_id=WP_000839833.1;transl_table=11	0.0	0.0	2.021698459346736	0.0
sense	NC_016810.1	RefSeq	gene	32545	32994	.	-	.	ID=gene-SL1344_RS00150;Name=SL1344_RS00150;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00150;old_locus_tag=SL1344_0030	0.0	0.0	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	32545	32994	.	-	0	ID=cds-WP_001250362.1;Parent=gene-SL1344_RS00150;Dbxref=GenBank:WP_001250362.1;Name=WP_001250362.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459034.1;locus_tag=SL1344_RS00150;product=winged helix-turn-helix domain-containing protein;protein_id=WP_001250362.1;transl_table=11	0.0	0.0	0.0	0.0
sense	NC_016810.1	RefSeq	gene	33364	34368	.	+	.	ID=gene-SL1344_RS00155;Name=SL1344_RS00155;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00155;old_locus_tag=SL1344_0031	0.0	0.0	0.2317409577281035	0.3421654077776862
sense	NC_016810.1	Protein Homology	CDS	33364	34368	.	+	0	ID=cds-WP_001247395.1;Parent=gene-SL1344_RS00155;Dbxref=GenBank:WP_001247395.1;Name=WP_001247395.1;Ontology_term=GO:0006355,GO:0003677,GO:0003700;gbkey=CDS;go_function=DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA;go_process=regulation of DNA-templated transcription|0006355||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459035.1;locus_tag=SL1344_RS00155;product=LysR family transcriptional regulator;protein_id=WP_001247395.1;transl_table=11	0.0	0.0	0.2317409577281035	0.3421654077776862
sense	NC_016810.1	RefSeq	gene	34376	34816	.	-	.	ID=gene-SL1344_RS00160;Name=SL1344_RS00160;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00160;old_locus_tag=SL1344_0032	0.623117982736586	0.6514260512956923	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	34376	34816	.	-	0	ID=cds-WP_000158347.1;Parent=gene-SL1344_RS00160;Dbxref=GenBank:WP_000158347.1;Name=WP_000158347.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459036.1;locus_tag=SL1344_RS00160;product=winged helix-turn-helix domain-containing protein;protein_id=WP_000158347.1;transl_table=11	0.623117982736586	0.6514260512956923	0.0	0.0
sense	NC_016810.1	RefSeq	gene	35339	37057	.	+	.	ID=gene-SL1344_RS00165;Name=SL1344_RS00165;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00165;old_locus_tag=SL1344_0033	0.266429154922275	0.3342395446438631	0.47419942920803027	0.0
sense	NC_016810.1	Protein Homology	CDS	35339	37057	.	+	0	ID=cds-WP_001036514.1;Parent=gene-SL1344_RS00165;Dbxref=GenBank:WP_001036514.1;Name=WP_001036514.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459037.1;locus_tag=SL1344_RS00165;product=aryl-sulfate sulfotransferase;protein_id=WP_001036514.1;transl_table=11	0.266429154922275	0.3342395446438631	0.47419942920803027	0.0
sense	NC_016810.1	RefSeq	gene	37103	38674	.	-	.	ID=gene-SL1344_RS00170;Name=SL1344_RS00170;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00170;old_locus_tag=SL1344_0034	0.6118209964083464	0.7309895384768456	0.4444650048029466	0.3281261782600904
