Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	InSPI2_R1	InSPI2_R2	LSP_R1	LSP_R2
sense	NC_016810.1	RefSeq	gene	5966	7396	.	-	.	ID=gene-SL1344_RS00030;Name=SL1344_RS00030;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00030;old_locus_tag=SL1344_0006	2.0266087940609236	5.345609736236657	0.12028027353516137	3.7768095337589456
sense	NC_016810.1	Protein Homology	CDS	5966	7396	.	-	0	ID=cds-WP_001113820.1;Parent=gene-SL1344_RS00030;Dbxref=GenBank:WP_001113820.1;Name=WP_001113820.1;Ontology_term=GO:0006814,GO:0006865,GO:0005283,GO:0015293,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=amino acid:sodium symporter activity|0005283||IEA,symporter activity|0015293||IEA;go_process=sodium ion transport|0006814||IEA,amino acid transport|0006865||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459011.1;locus_tag=SL1344_RS00030;product=alanine/glycine:cation symporter family protein;protein_id=WP_001113820.1;transl_table=11	2.0266087940609236	5.345609736236657	0.12028027353516137	3.7768095337589456
sense	NC_016810.1	RefSeq	gene	7665	8618	.	+	.	ID=gene-SL1344_RS00035;Name=tal;gbkey=Gene;gene=tal;gene_biotype=protein_coding;locus_tag=SL1344_RS00035;old_locus_tag=SL1344_0007	36.4789582930966	20.491503988907176	3.1272871119141947	1.5107238135035783
sense	NC_016810.1	Protein Homology	CDS	7665	8618	.	+	0	ID=cds-WP_000130175.1;Parent=gene-SL1344_RS00035;Dbxref=GenBank:WP_000130175.1;Name=WP_000130175.1;Ontology_term=GO:0006098,GO:0004801,GO:0005737;gbkey=CDS;gene=tal;go_component=cytoplasm|0005737||IEA;go_function=transaldolase activity|0004801||IEA;go_process=pentose-phosphate shunt|0006098||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459012.1;locus_tag=SL1344_RS00035;product=transaldolase;protein_id=WP_000130175.1;transl_table=11	36.4789582930966	20.491503988907176	3.1272871119141947	1.5107238135035783
sense	NC_016810.1	RefSeq	gene	8729	9319	.	+	.	ID=gene-SL1344_RS00040;Name=mog;gbkey=Gene;gene=mog;gene_biotype=protein_coding;locus_tag=SL1344_RS00040;old_locus_tag=SL1344_0008	1.6356893312471417	2.8763179291425667	1.1649480299750654	2.4386303182443543
sense	NC_016810.1	Protein Homology	CDS	8729	9319	.	+	0	ID=cds-WP_000380372.1;Parent=gene-SL1344_RS00040;Dbxref=GenBank:WP_000380372.1;Name=WP_000380372.1;Ontology_term=GO:0006777;gbkey=CDS;gene=mog;go_process=Mo-molybdopterin cofactor biosynthetic process|0006777||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459013.1;locus_tag=SL1344_RS00040;product=molybdopterin adenylyltransferase;protein_id=WP_000380372.1;transl_table=11	1.6356893312471417	2.8763179291425667	1.1649480299750654	2.4386303182443543
sense	NC_016810.1	RefSeq	gene	9376	9942	.	-	.	ID=gene-SL1344_RS00045;Name=satP;gbkey=Gene;gene=satP;gene_biotype=protein_coding;locus_tag=SL1344_RS00045;old_locus_tag=SL1344_0009	0.8524624292478488	0.0	0.3035644998744549	0.0
sense	NC_016810.1	Protein Homology	CDS	9376	9942	.	-	0	ID=cds-WP_000528527.1;Parent=gene-SL1344_RS00045;Dbxref=GenBank:WP_000528527.1;Name=WP_000528527.1;Ontology_term=GO:0016020;gbkey=CDS;gene=satP;go_component=membrane|0016020||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459014.1;locus_tag=SL1344_RS00045;product=acetate uptake transporter;protein_id=WP_000528527.1;transl_table=11	0.8524624292478488	0.0	0.3035644998744549	0.0
sense	NC_016810.1	RefSeq	gene	10092	10805	.	-	.	ID=gene-SL1344_RS00050;Name=msyB;gbkey=Gene;gene=msyB;gene_biotype=protein_coding;locus_tag=SL1344_RS00050;old_locus_tag=SL1344_0010	0.0	0.0	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	10092	10805	.	-	0	ID=cds-WP_001103477.1;Parent=gene-SL1344_RS00050;Dbxref=GenBank:WP_001103477.1;Name=WP_001103477.1;gbkey=CDS;gene=msyB;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459015.1;locus_tag=SL1344_RS00050;product=acidic protein MsyB;protein_id=WP_001103477.1;transl_table=11	0.0	0.0	0.0	0.0
sense	NC_016810.1	RefSeq	gene	10841	11245	.	-	.	ID=gene-SL1344_RS00055;Name=SL1344_RS00055;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00055;old_locus_tag=SL1344_0011	2.386894801893977	3.147970178006031	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	10841	11245	.	-	0	ID=cds-WP_001258094.1;Parent=gene-SL1344_RS00055;Dbxref=GenBank:WP_001258094.1;Name=WP_001258094.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459016.1;locus_tag=SL1344_RS00055;product=DUF2541 family protein;protein_id=WP_001258094.1;transl_table=11	2.386894801893977	3.147970178006031	0.0	0.0
sense	NC_016810.1	RefSeq	gene	11593	13509	.	+	.	ID=gene-SL1344_RS00060;Name=dnaK;gbkey=Gene;gene=dnaK;gene_biotype=protein_coding;locus_tag=SL1344_RS00060;old_locus_tag=SL1344_0012	53.28490508453434	40.79059948965556	0.8978668306145847	0.37590780336004526
sense	NC_016810.1	Protein Homology	CDS	11593	13509	.	+	0	ID=cds-WP_000516125.1;Parent=gene-SL1344_RS00060;Dbxref=GenBank:WP_000516125.1;Name=WP_000516125.1;Ontology_term=GO:0006457,GO:0005524,GO:0016887;gbkey=CDS;gene=dnaK;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA;go_process=protein folding|0006457||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_001737966.1;locus_tag=SL1344_RS00060;product=molecular chaperone DnaK;protein_id=WP_000516125.1;transl_table=11	53.28490508453434	40.79059948965556	0.8978668306145847	0.37590780336004526
sense	NC_016810.1	RefSeq	gene	13595	14734	.	+	.	ID=gene-SL1344_RS00065;Name=dnaJ;gbkey=Gene;gene=dnaJ;gene_biotype=protein_coding;locus_tag=SL1344_RS00065;old_locus_tag=SL1344_0013	18.372808672473365	17.14815333808548	0.5032779866339645	0.6321186482817603
sense	NC_016810.1	Protein Homology	CDS	13595	14734	.	+	0	ID=cds-WP_001119009.1;Parent=gene-SL1344_RS00065;Dbxref=GenBank:WP_001119009.1;Name=WP_001119009.1;Ontology_term=GO:0006457,GO:0009408,GO:0005515,GO:0005524;gbkey=CDS;gene=dnaJ;go_function=protein binding|0005515||IEA,ATP binding|0005524||IEA;go_process=protein folding|0006457||IEA,response to heat|0009408||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459018.1;locus_tag=SL1344_RS00065;product=molecular chaperone DnaJ;protein_id=WP_001119009.1;transl_table=11	18.372808672473365	17.14815333808548	0.5032779866339645	0.6321186482817603
sense	NC_016810.1	RefSeq	gene	15014	15961	.	+	.	ID=gene-SL1344_RS00070;Name=SL1344_RS00070;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00070;old_locus_tag=SL1344_0014	1.6995295266650146	2.6897213546254064	0.24208308217836275	0.0
sense	NC_016810.1	Protein Homology	CDS	15014	15961	.	+	0	ID=cds-WP_000534902.1;Parent=gene-SL1344_RS00070;Dbxref=GenBank:WP_000534902.1;Name=WP_000534902.1;Ontology_term=GO:0001216,GO:0003677,GO:0003700;gbkey=CDS;go_function=DNA-binding transcription activator activity|0001216||IEA,DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459019.1;locus_tag=SL1344_RS00070;product=LysR family transcriptional regulator;protein_id=WP_000534902.1;transl_table=11	1.6995295266650146	2.6897213546254064	0.24208308217836275	0.0
sense	NC_016810.1	RefSeq	gene	16088	16432	.	+	.	ID=gene-SL1344_RS00075;Name=SL1344_RS00075;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00075;old_locus_tag=SL1344_0015	0.0	2.463628834961242	0.6652022084205446	0.0
sense	NC_016810.1	Protein Homology	CDS	16088	16432	.	+	0	ID=cds-WP_000026889.1;Parent=gene-SL1344_RS00075;Dbxref=GenBank:WP_000026889.1;Name=WP_000026889.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459020.1;locus_tag=SL1344_RS00075;product=phage holin family protein;protein_id=WP_000026889.1;transl_table=11	0.0	2.463628834961242	0.6652022084205446	0.0
sense	NC_016810.1	RefSeq	gene	16493	17026	.	-	.	ID=gene-SL1344_RS00080;Name=SL1344_RS00080;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00080;old_locus_tag=SL1344_0016	1.810285383458915	0.0	0.6446482075985615	0.0
sense	NC_016810.1	Protein Homology	CDS	16493	17026	.	-	0	ID=cds-WP_001068132.1;Parent=gene-SL1344_RS00080;Dbxref=GenBank:WP_001068132.1;Name=WP_001068132.1;Ontology_term=GO:0004553;gbkey=CDS;go_function=hydrolase activity%2C hydrolyzing O-glycosyl compounds|0004553||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459021.1;locus_tag=SL1344_RS00080;product=glycoside hydrolase family 108 protein;protein_id=WP_001068132.1;transl_table=11	1.810285383458915	0.0	0.6446482075985615	0.0
sense	NC_016810.1	RefSeq	gene	17043	17486	.	-	.	ID=gene-SL1344_RS00085;Name=SL1344_RS00085;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00085;old_locus_tag=SL1344_0017	0.0	0.0	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	17043	17486	.	-	0	ID=cds-WP_000860682.1;Parent=gene-SL1344_RS00085;Dbxref=GenBank:WP_000860682.1;Name=WP_000860682.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459022.1;locus_tag=SL1344_RS00085;product=winged helix-turn-helix domain-containing protein;protein_id=WP_000860682.1;transl_table=11	0.0	0.0	0.0	0.0
sense	NC_016810.1	RefSeq	gene	17867	19966	.	+	.	ID=gene-SL1344_RS00090;Name=SL1344_RS00090;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00090;old_locus_tag=SL1344_0018	0.4603297117938384	0.4047390228864897	1.5846066893446544	1.0294503700588669
sense	NC_016810.1	Protein Homology	CDS	17867	19966	.	+	0	ID=cds-WP_000235798.1;Parent=gene-SL1344_RS00090;Dbxref=GenBank:WP_000235798.1;Name=WP_000235798.1;Ontology_term=GO:0005975;gbkey=CDS;go_process=carbohydrate metabolic process|0005975||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459023.1;locus_tag=SL1344_RS00090;product=glycosyl hydrolase family 18 protein;protein_id=WP_000235798.1;transl_table=11	0.4603297117938384	0.4047390228864897	1.5846066893446544	1.0294503700588669
sense	NC_016810.1	RefSeq	gene	20058	23054	.	+	.	ID=gene-SL1344_RS00095;Name=SL1344_RS00095;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00095;old_locus_tag=SL1344_0019	0.0	0.0	0.0765748287971598	0.0
sense	NC_016810.1	Protein Homology	CDS	20058	23054	.	+	0	ID=cds-WP_000155792.1;Parent=gene-SL1344_RS00095;Dbxref=GenBank:WP_000155792.1;Name=WP_000155792.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459024.1;locus_tag=SL1344_RS00095;product=chitinase;protein_id=WP_000155792.1;transl_table=11	0.0	0.0	0.0765748287971598	0.0
sense	NC_016810.1	RefSeq	gene	23335	24039	.	+	.	ID=gene-SL1344_RS00100;Name=SL1344_RS00100;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00100;old_locus_tag=SL1344_0020	0.9141299241296081	1.2056056000874162	0.32552448497175585	1.0221493036045486
sense	NC_016810.1	Protein Homology	CDS	23335	24039	.	+	0	ID=cds-WP_000738617.1;Parent=gene-SL1344_RS00100;Dbxref=GenBank:WP_000738617.1;Name=WP_000738617.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459025.1;locus_tag=SL1344_RS00100;product=winged helix-turn-helix transcriptional regulator;protein_id=WP_000738617.1;transl_table=11	0.9141299241296081	1.2056056000874162	0.32552448497175585	1.0221493036045486
sense	NC_016810.1	RefSeq	gene	24469	25011	.	+	.	ID=gene-SL1344_RS00105;Name=SL1344_RS00105;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00105;old_locus_tag=SL1344_0021	0.5934268844487787	0.0	0.21132114355901277	1.3270999245694417
sense	NC_016810.1	Protein Homology	CDS	24469	25011	.	+	0	ID=cds-WP_000743357.1;Parent=gene-SL1344_RS00105;Dbxref=GenBank:WP_000743357.1;Name=WP_000743357.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459026.1;locus_tag=SL1344_RS00105;product=fimbrial protein BcfA;protein_id=WP_000743357.1;transl_table=11	0.5934268844487787	0.0	0.21132114355901277	1.3270999245694417
sense	NC_016810.1	RefSeq	gene	25112	25798	.	+	.	ID=gene-SL1344_RS00110;Name=bcfB;gbkey=Gene;gene=bcfB;gene_biotype=protein_coding;locus_tag=SL1344_RS00110;old_locus_tag=SL1344_0022	0.0	0.0	0.3340535107788761	0.0
sense	NC_016810.1	Protein Homology	CDS	25112	25798	.	+	0	ID=cds-WP_000742554.1;Parent=gene-SL1344_RS00110;Dbxref=GenBank:WP_000742554.1;Name=WP_000742554.1;gbkey=CDS;gene=bcfB;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459027.1;locus_tag=SL1344_RS00110;product=fimbrial biogenesis chaperone BcfB;protein_id=WP_000742554.1;transl_table=11	0.0	0.0	0.3340535107788761	0.0
sense	NC_016810.1	RefSeq	gene	25803	28424	.	+	.	ID=gene-SL1344_RS00115;Name=bcfC;gbkey=Gene;gene=bcfC;gene_biotype=protein_coding;locus_tag=SL1344_RS00115;old_locus_tag=SL1344_0023	0.2457900825748946	0.0	0.043763303185562145	0.0
sense	NC_016810.1	Protein Homology	CDS	25803	28424	.	+	0	ID=cds-WP_001245854.1;Parent=gene-SL1344_RS00115;Dbxref=GenBank:WP_001245854.1;Name=WP_001245854.1;gbkey=CDS;gene=bcfC;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459028.1;locus_tag=SL1344_RS00115;product=fimbrial usher BcfC;protein_id=WP_001245854.1;transl_table=11	0.2457900825748946	0.0	0.043763303185562145	0.0
sense	NC_016810.1	RefSeq	gene	28425	29432	.	+	.	ID=gene-SL1344_RS00120;Name=SL1344_RS00120;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00120;old_locus_tag=SL1344_0024	0.6393468219358865	0.0	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	28425	29432	.	+	0	ID=cds-WP_000701247.1;Parent=gene-SL1344_RS00120;Dbxref=GenBank:WP_000701247.1;Name=WP_000701247.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459029.1;locus_tag=SL1344_RS00120;product=fimbrial protein BcfD;protein_id=WP_000701247.1;transl_table=11	0.6393468219358865	0.0	0.0	0.0
sense	NC_016810.1	RefSeq	gene	29433	29978	.	+	.	ID=gene-SL1344_RS00125;Name=SL1344_RS00125;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00125;old_locus_tag=SL1344_0025	0.0	0.0	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	29433	29978	.	+	0	ID=cds-WP_001082039.1;Parent=gene-SL1344_RS00125;Dbxref=GenBank:WP_001082039.1;Name=WP_001082039.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459030.1;locus_tag=SL1344_RS00125;product=fimbrial protein BcfE;protein_id=WP_001082039.1;transl_table=11	0.0	0.0	0.0	0.0
sense	NC_016810.1	RefSeq	gene	29994	30512	.	+	.	ID=gene-SL1344_RS00130;Name=SL1344_RS00130;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00130;old_locus_tag=SL1344_0026	0.6208685900880286	0.0	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	29994	30512	.	+	0	ID=cds-WP_001243232.1;Parent=gene-SL1344_RS00130;Dbxref=GenBank:WP_001243232.1;Name=WP_001243232.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459031.1;locus_tag=SL1344_RS00130;product=fimbrial protein BcfF;protein_id=WP_001243232.1;transl_table=11	0.6208685900880286	0.0	0.0	0.0
sense	NC_016810.1	RefSeq	gene	30478	31209	.	+	.	ID=gene-SL1344_RS00135;Name=bcfG;gbkey=Gene;gene=bcfG;gene_biotype=protein_coding;locus_tag=SL1344_RS00135;old_locus_tag=SL1344_0027	0.44020600854602027	0.0	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	30478	31209	.	+	0	ID=cds-WP_001135039.1;Parent=gene-SL1344_RS00135;Dbxref=GenBank:WP_001135039.1;Name=WP_001135039.1;gbkey=CDS;gene=bcfG;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459032.1;locus_tag=SL1344_RS00135;product=fimbrial chaperone BcfG;protein_id=WP_001135039.1;transl_table=11	0.44020600854602027	0.0	0.0	0.0
sense	NC_016810.1	RefSeq	gene	31274	32119	.	+	.	ID=gene-SL1344_RS00140;Name=SL1344_RS00140;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00140;old_locus_tag=SL1344_0028	0.7617749367746733	0.0	0.13563520207156493	0.0
sense	NC_016810.1	Protein Homology	CDS	31274	32119	.	+	0	ID=cds-WP_000291392.1;Parent=gene-SL1344_RS00140;Dbxref=GenBank:WP_000291392.1;Name=WP_000291392.1;Ontology_term=GO:0015036;gbkey=CDS;go_function=disulfide oxidoreductase activity|0015036||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459033.1;locus_tag=SL1344_RS00140;product=DsbA family protein;protein_id=WP_000291392.1;transl_table=11	0.7617749367746733	0.0	0.13563520207156493	0.0
sense	NC_016810.1	RefSeq	gene	32158	32445	.	+	.	ID=gene-SL1344_RS00145;Name=SL1344_RS00145;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00145;old_locus_tag=SL1344_0029	0.0	0.0	1.9921420304261095	0.0
sense	NC_016810.1	Protein Homology	CDS	32158	32445	.	+	0	ID=cds-WP_000839833.1;Parent=gene-SL1344_RS00145;Dbxref=GenBank:WP_000839833.1;Name=WP_000839833.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_000839835.1;locus_tag=SL1344_RS00145;product=hypothetical protein;protein_id=WP_000839833.1;transl_table=11	0.0	0.0	1.9921420304261095	0.0
sense	NC_016810.1	RefSeq	gene	32545	32994	.	-	.	ID=gene-SL1344_RS00150;Name=SL1344_RS00150;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00150;old_locus_tag=SL1344_0030	0.0	0.0	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	32545	32994	.	-	0	ID=cds-WP_001250362.1;Parent=gene-SL1344_RS00150;Dbxref=GenBank:WP_001250362.1;Name=WP_001250362.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459034.1;locus_tag=SL1344_RS00150;product=winged helix-turn-helix domain-containing protein;protein_id=WP_001250362.1;transl_table=11	0.0	0.0	0.0	0.0
sense	NC_016810.1	RefSeq	gene	33364	34368	.	+	.	ID=gene-SL1344_RS00155;Name=SL1344_RS00155;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00155;old_locus_tag=SL1344_0031	0.0	0.0	0.22835299692048544	0.7170301084987132
sense	NC_016810.1	Protein Homology	CDS	33364	34368	.	+	0	ID=cds-WP_001247395.1;Parent=gene-SL1344_RS00155;Dbxref=GenBank:WP_001247395.1;Name=WP_001247395.1;Ontology_term=GO:0006355,GO:0003677,GO:0003700;gbkey=CDS;go_function=DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA;go_process=regulation of DNA-templated transcription|0006355||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459035.1;locus_tag=SL1344_RS00155;product=LysR family transcriptional regulator;protein_id=WP_001247395.1;transl_table=11	0.0	0.0	0.22835299692048544	0.7170301084987132
sense	NC_016810.1	RefSeq	gene	34376	34816	.	-	.	ID=gene-SL1344_RS00160;Name=SL1344_RS00160;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00160;old_locus_tag=SL1344_0032	2.1920462466373256	2.890993020617784	0.0	0.0
sense	NC_016810.1	Protein Homology	CDS	34376	34816	.	-	0	ID=cds-WP_000158347.1;Parent=gene-SL1344_RS00160;Dbxref=GenBank:WP_000158347.1;Name=WP_000158347.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459036.1;locus_tag=SL1344_RS00160;product=winged helix-turn-helix domain-containing protein;protein_id=WP_000158347.1;transl_table=11	2.1920462466373256	2.890993020617784	0.0	0.0
sense	NC_016810.1	RefSeq	gene	35339	37057	.	+	.	ID=gene-SL1344_RS00165;Name=SL1344_RS00165;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00165;old_locus_tag=SL1344_0033	0.9372623567646504	1.4833367330918472	0.46726682179628126	0.0
sense	NC_016810.1	Protein Homology	CDS	35339	37057	.	+	0	ID=cds-WP_001036514.1;Parent=gene-SL1344_RS00165;Dbxref=GenBank:WP_001036514.1;Name=WP_001036514.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459037.1;locus_tag=SL1344_RS00165;product=aryl-sulfate sulfotransferase;protein_id=WP_001036514.1;transl_table=11	0.9372623567646504	1.4833367330918472	0.46726682179628126	0.0
sense	NC_016810.1	RefSeq	gene	37103	38674	.	-	.	ID=gene-SL1344_RS00170;Name=SL1344_RS00170;gbkey=Gene;gene_biotype=protein_coding;locus_tag=SL1344_RS00170;old_locus_tag=SL1344_0034	2.1523049501811147	3.2440914048153755	0.4379671028723051	0.6876099800011516
